Site ID,Account Number,Hotel Name,Address,Oracle(rooms),Agoda(rooms),Expedia(rooms),Trip(rooms)
57719,57719-20059-01-HOJ,Howard Johnson by Wyndham Pekalongan Indonesia,"Jl. Gajah Mada Bar. No.11A, Kramatsari Pekalongan, Ja 51118 Indonesia",102,102,-,102
58029,58029-26471-02-HOJ,Howard Johnson By Wyndham Tangerang,"Jl. M. H. Thamrin No. 7, Kebon Nanas, Cikokol Tangerang, Ba 15117 Indonesia",200,38,-,38
59373,59373-25639-01-HOJ,Howard Johnson By Wyndham Kuala Lumpur 118,"8, Jalan Kampung Attap, Kampung Attap Kuala Lumpur, Ku 50460 Malaysia",160,160,160,160
59374,59374-25640-01-HOJ,Howard Johnson by Wyndham Kota Kinabalu City Centre,"75, Bandaran Berjaya Kota Kinabalu, Sa 88819 Malaysia",120,120,120,120
59536,59536-25879-01-HOJ,Howard Johnson By Wyndham Phnom Penh Tk,"TK STAR CONDO building, Ground Floor, Corner of Street 315 and Street 516, Village 1, Sangkat Boeung Kak 1, Phnom Penh, NA 00000 Cambodia",180,186,-,-
59575,59575-25932-01-HOJ,Howard Johnson by Wyndham Pattaya JC,"158/7-8 Moo 5, Soi Naklua 16/3, Naklua Subdistrict, Banglamung District, Pattaya, CH 20250 Thailand",193,193,193,193
59603,59603-26698-02-HOJ,Howard Johnson by Wyndham Phuket Naiyang,"57-6 Tambon Sakoo Aumphure Thalang District, Phuket 83110 Phuket, Ph 93110 Thailand",75,75,75,75
52541,52541-18648-03-LFD,La Quinta by Wyndham Remarkables Park Queenstown,"18 Mountain Ash Drive Remarkables Park, Frankton Queenstown, 9300 New Zealand",188,92,91,90
54991,54991-21114-03-LFD,La Quinta by Wyndham Ellerslie Auckland,"660 Great South Road Auckland, 1061 New Zealand",246,104,103,104
56116,56116-25139-02-LFD,La Quinta by Wyndham Parnell Auckland,"25-33 The Strand Parnell Auckland, 1010 New Zealand",116,54,54,54
27753,27753-80231-03-MTI,Microtel by Wyndham Tarlac,"Luisita Industrial Park Road Tarlac City, 2301 PHILIPPINES",50,50,50,55
27754,27754-80231-01-MTI,Microtel by Wyndham Davao,"Km. 7 Mamay Road Davao, . 8000 PHILIPPINES",50,51,51,49
27773,27773-80231-02-MTI,Microtel by Wyndham Batangas,"First Philippine Industrial Park Batangas City, . PHILIPPINES",78,78,78,78
27793,27793-80231-02-MTI,Microtel by Wyndham Eagle Ridge,"Amadeo Road Ridge Golf & Country Club Cavite, . PHILIPPINES",57,57,57,57
28018,28018-80231-01-MTI,Microtel by Wyndham Baguio,"Upper Session Road Baguio City, . 2600 PHILIPPINES",92,92,92,92
28020,28020-80231-01-MTI,Microtel by Wyndham Boracay,"Boracay Island Aklan, . 5608 PHILIPPINES",50,51,51,29
30920,30920-80231-02-MTI,Microtel by Wyndham Cabanatuan,"Sta. Arcadia Cabanatuan City, Nueva Ecija 3100 PHILIPPINES",50,50,50,50
32363,32363-80231-01-MTI,Microtel by Wyndham Puerto Princesa,"San Manuel Puerto Princesa City, . PHILIPPINES",50,50,50,43
32367,32367-80231-01-MTI,Microtel by Wyndham Mall of Asia,"Coralway Ave.Cor. Seaside Blvd Mall of Asia Complex Manila, . 1308 PH PHILIPPINES",150,150,150,150
47105,47105-80231-01-MTI,Microtel by Wyndham General Santos,"National Highway, Barangay City Heights, General Santos City, . PHILIPPINES",65,65,65,57
48162,48162-80231-01-MTI,Microtel by Wyndham South Forbes near Nuvali,"South Forbes Golf City Barabgay Inchian Silang, Cavite PHILIPPINES",61,61,61,61
48163,48163-80231-01-MTI,Microtel by Wyndham UP Technohub,"U.P.-Ayala Technohub Commonwealth Avenue Quezon City, . PHILIPPINES",120,120,120,120
53532,53532-80231-01-MTI,Microtel Inn & Suites by Wyndham San Fernando,"LGC Blvd. Laus Group Complex Jose Abad Santos Ave. San Fernando, 2000 PHILIPPINES",80,61,80,77
56347,56347-19528-02-MTI,Microtel by Wyndham Wellington,"25 Vivian Street, Te Aro Wellington, 6011 New Zealand",81,10,80,80
15267,15267-83496-02-RAI,Ramada Hotel & Suites by Wyndham Noumea,"BAIE DE L'ANSE - VATA BP 8262 NOUMEA, 98847 New Caledonia",104,128,125,124
15289,15289-83516-02-RAI,Ramada Hotel & Suites by Wyndham Ballina Byron,"2 Martin St. BALLINA, NS 2478 Australia",115,111,106,106
15919,15919-10524-02-RAI,Ramada by Wyndham Songdo,"812 DONGCHUN-DONG YEONSU-GU INCHEON SONGDO, 406-131 KOREA, REPUBLIC OF",204,204,-,309
16016,16016-81765-01-RAI,Ramada Resort by Wyndham Khao Lak,"59 MOO 5 TUMBON KHUEKKUK TAKAUPA PHANG NGA, 82190 Thailand",116,116,116,116
18535,18535-68494-01-RAI,Ramada by Wyndham D MA Bangkok,"Nakorn Luang Plaza, 1091/388 Soi Jarurat, New Petchburi Road Rachthevi Bangkok, ** 10400 Thailand",286,286,286,200
19254,19254-10823-02-RAI,Ramada by Wyndham Hervey Bay,"627 The Esplanade Hervey Bay, QL 4655 Australia",91,90,86,96
19384,19384-16243-05-RAI,Ramada Hotel & Suites by Wyndham Seoul Namdaemun,"#27 Chilpae-ro Jung-gu Seoul, Namdaemun 04511 KOREA, REPUBLIC OF",316,220,-,227
20112,20112-70949-01-RAI,Ramada Plaza by Wyndham Bangkok Menam Riverside,"2074 Charoenkrung Road, Bangkolaem Bangkok, 10120 Thailand",525,525,501,501
21743,21743-13235-02-RAI,Ramada Hotel & Suites by Wyndham Gangwon Pyeongchang,"245-36 Hwengae-ri, Doam-myon Daegwanryeong-myeon Pyung Chang, 232-956 KOREA, REPUBLIC OF",678,678,678,601
23973,23973-73503-02-RAI,Ramada Plaza by Wyndham Suwon,"940 Ingue-dong Gyung-Ki Do Suwon City, . 442-832 KOREA, REPUBLIC OF",287,287,287,287
31384,31384-14812-02-RAI,Ramada by Wyndham Dongtan,"90-3, Bansong-Dong, Hwasung-si Kyunggi-do, . 445-160 KOREA, REPUBLIC OF",150,150,150,139
38971,38971-91695-02-RAI,Ramada by Wyndham Ulaanbaatar Citycenter,"Bayangol Districk 16th Khoroo Ulaanbaatar, . 976 Mongolia",128,128,124,123
41052,41052-95077-01-RAI,Ramada by Wyndham Manila Central,"Ongpin Corner Quintin Paredes Street Binondo, . PHILIPPINES",114,114,114,114
45377,45377-00313-01-RAI,Ramada by Wyndham Phuket Southsea,"204 Karon Road Phuket, 83100 Thailand",152,150,152,150
45712,45712-08180-02-RAI,Ramada by Wyndham Seoul Dongdaemun,"275-3 Euljiro 5 ga Joong-gu Seoul, . KOREA, REPUBLIC OF",197,197,197,197
46055,46055-98877-03-RAI,Ramada Resort by Wyndham Port Douglas,"316 Port Douglas Road Port Douglas, Queensland, QL 4877 Australia",51,45,51,44
46401,46401-98877-02-RAI,Ramada Resort by Wyndham Phillip Island,"2128 Phillip Island Road Philip Island, VI 3922 Australia",43,211,-,35
46402,46402-98877-02-RAI,Ramada By Wyndham Marcoola Beach,"923 David Low Way Marcoola Beach, QL 4564 Australia",90,88,128,82
46597,46597-02215-01-RAI,Ramada by Wyndham Phuket Deevana,"RAJ-U-THID 200 PEE ROAD PHUKET, . 83150 Thailand",206,206,206,206
47609,47609-03575-01-RAI,Ramada Suites by Wyndham Christchurch City,"264-266 Tuam Street Christchurch, New Zealand",44,43,-,44
47731,47731-23248-02-RAI,Ramada Suites by Wyndham Wailoaloa Beach Fiji,"14 Wasawasa Road Nadi, . Fiji",40,40,-,40
48189,48189-16205-02-RAI,Ramada by Wyndham Jeju Hamdeok,"3061, Hamdeok-ri, Jocheon-eup Jeju, . KOREA, REPUBLIC OF",462,300,269,140
48321,48321-04568-02-RAI,Ramada Encore by Wyndham Seminyak Bali,"Jl. Dewi Saraswati III Seminyak Denpasar, Bali 80361 Indonesia",297,301,296,331
48364,48364-98877-02-RAI,Ramada Resort by Wyndham Shoal Bay,"35-45 Shoal Bay Road Shoal Bay, QL 2315 Australia",104,184,102,127
48632,48632-09585-02-RAI,Ramada by Wyndham Jeju City Hall,"1025-8 Ido 2-dong Jeju-do, Jeju-si, KOREA, REPUBLIC OF",357,357,357,357
48658,48658-05002-01-RAI,Ramada by Wyndham Gunsan,"867-1, Naun 3-dong, Gunsan-si Jeollabuk-do, . KOREA, REPUBLIC OF",137,137,137,137
48751,48751-13847-04-RAI,Ramada by Wyndham Gangwon Sokcho,"939 Daepo-dong Sokcho-si Gangwon-do, . KOREA, REPUBLIC OF",556,556,556,556
48825,48825-05258-01-RAI,Ramada Resort by Wyndham Port Vila,"No 2 Paray Area Port Vila, . Vanuatu",80,80,80,80
48932,48932-07985-02-RAI,Ramada Suites by Wyndham Queenstown Remarkables Park,"24 Hawthorne Drive, Remarkables Park Queenstown, 9300 New Zealand",56,92,57,58
49161,49161-25860-02-RAI,Ramada by Wyndham Taebaek,"24-10, Sodo-dong, Taebaek-si Taebaek City, KOREA, REPUBLIC OF",188,305,305,186
49268,49268-23482-02-RAI,Ramada Encore by Wyndham Haeundae,"9 Gunam-ro, Haeundae-gu Haeundae-Ku Haeundae, Busan-Shi KS012 KOREA, REPUBLIC OF",402,402,402,402
49298,49298-19897-02-RAI,Ramada Encore by Wyndham CheonAn,"#210-21 Ssangyong 1-dong Cheonan-si, KS002 KOREA, REPUBLIC OF",420,420,420,420
49372,49372-06250-01-RAI,Ramada Suites by Wyndham Zen Quarter Darwin,"6 Carey Street Darwin, NT 0801 Australia",218,209,218,200
49408,49408-06263-01-RAI,Ramada by Wyndham Meridin Johor Bahru,"Meridin@medini, 3, Jalan Legoland, Medini Iskandar Musajaya, Jo 79250 Malaysia",644,644,664,125
49545,49545-22050-02-RAI,Ramada Suites by Wyndham Geoje,"2631, Geoje-daero, Irun-myeon Geoje City, Gyeongsangnam-do KOREA, REPUBLIC OF",184,112,185,76
49556,49556-24136-02-RAI,Ramada by Wyndham Daejeon,"127 Gyeryong-ro Yuseong-Gu Daejeon City, KOREA, REPUBLIC OF",222,222,222,11
49674,49674-09763-03-RAI,Ramada Suites by Wyndham Albany,"9 Kaipiho Lane, Albany Auckland, 0632 New Zealand",88,66,65,65
49811,49811-16201-02-RAI,Ramada by Wyndham Yongin,"356-6, Jeondae-ri Pogok-eup, Yongin City, KOREA, REPUBLIC OF",399,399,399,399
49878,49878-07285-01-RAI,Ramada Resort By Wyndham Rotorua Marama,"1420 Hamurana Rd. Rotorua, 3074 New Zealand",20,15,-,22
49880,49880-98877-01-RAI,Ramada Resort by Wyndham Golden Beach,"75 Esplanade corner Jellicoe Street and Esplanade Golden Beach, QL 4551 Australia",41,134,-,33
49905,49905-07305-01-RAI,Ramada Plaza by Wyndham Chao Fah,"Chaofa Road Phuket City, 10120 Thailand",270,257,257,257
49938,49938-26360-02-RAI,Ramada Encore by Wyndham Gimpo Han River Hotel,"169 Arayuk ro 152beon gil Gocheon-Eup Gimpo si, Gy 10135 KOREA, REPUBLIC OF",588,588,588,540
49966,49966-07810-01-RAI,Ramada by Wyndham Langkawi Marina,"Pantai Sanatorium Mukim Kuah Langkawi, Kedah Malaysia",45,85,-,45
50061,50061-22189-04-RAI,Ramada by Wyndham Bali Sunset Road Kuta,"Jalan Sunset Road No. 9 Seminyak, 80361 Indonesia",271,271,271,100
50077,50077-07565-03-RAI,Ramada Encore by Wyndham Whale Cove Hervey Bay,"68 Pulgul Street Hervey Bay, QL 4655 Australia",94,94,-,50
50223,50223-07870-03-RAI,Ramada Encore by Wyndham Makati,"9630 Kamagong Avenue near corner Ayala Avenue Makati, 1203 PHILIPPINES",84,84,-,84
50467,50467-15975-02-RAI,Ramada Suites by Wyndham Auckland Manukau Pacfic Centre,"770 Great South Rd Manukau Auckland, 2019 New Zealand",152,152,89,83
50470,50470-15977-02-RAI,Ramada Suites By Wyndham Victoria Street West,"147 Victoria Street Auckland, 2019 New Zealand",110,55,50,54
50857,50857-09118-01-RAI,Ramada by Wyndham Seoul Sindorim,"432-30 Sindorim-dong Guro-gu Seoul, KOREA, REPUBLIC OF",104,104,-,104
51043,51043-09401-01-RAI,Ramada Encore by Wyndham Busan Station,"1204-1 Choryang-dong Busan, 48821 KOREA, REPUBLIC OF",446,446,446,446
51116,51116-09527-01-RAI,Ramada by Wyndham VetroBlu Scarborough Beach,"Corner Scarborough Beach Road and Filburn Street Scarborough, WA 6019 Australia",75,52,52,45
51477,51477-16046-02-RAI,Ramada By Wyndham Queenstown Central,"18-24 Frankton Road Queenstown, 9300 New Zealand",131,131,131,130
51479,51479-19369-02-RAI,Ramada by Wyndham Newmarket Auckland,"41-43 Gillies Avenue Newmarket Auckland, 1023 New Zealand",93,93,93,93
51853,51853-18997-02-RAI,Ramada Hotel & Suites by Wyndham Sydney Cabramatta,"161 Hume Highway Cabramatta, NSW 2166 Australia",81,81,81,72
51865,51865-10777-01-RAI,Ramada Suites by Wyndham Kuala Lumpur City Centre,"No 1, Lorong Ceylon Bukit Ceylon Kuala Lumpur, 50200 Malaysia",107,107,107,104
52288,52288-11402-01-RAI,Ramada Plaza by Wyndham Dolsan Yeosu,"103 Gangnamhaean-ro Dolsan-eup Yeonsu-si, 59769 KOREA, REPUBLIC OF",427,427,427,427
52534,52534-11698-04-RAI,Ramada Suites By Wyndham Solo,"Jl. Adi Sucipto No. 56 Gajahan, Colomadu Solo, 57176 Indonesia",136,136,136,138
53981,53981-13609-01-RAI,Ramada by Wyndham Aonang Krabi,"109 Moo.3, Soi. 8 Ao Nang, Muang Krabi, 81180 Thailand",80,80,80,62
54085,54085-13827-02-RAI,Ramada By Wyndham Hamilton,"287 Victoria Street Hamilton, 3204 New Zealand",69,69,69,69
54730,54730-19268-02-RAI,Ramada by Wyndham Wellington Taranaki Street,"123 Taranaki Street Te Aro Wellington Wellington, 6011 New Zealand",117,72,72,62
54830,54830-15793-01-RAI,Ramada by Wyndham Diplomat Canberra,"2 Hely St. Griffith, ACT Canberra, NSW 2603 Australia",68,68,67,67
54958,54958-16231-01-RAI,Ramada Plaza by Wyndham Jaeun,"239 Yugagli Ja-eunmyeon Sin-angun, Korea 58830 KOREA, REPUBLIC OF",170,175,170,175
55096,55096-16530-01-RAI,Ramada By Wyndham Cairns City Centre,"Cnr Abbott & Florence Street Cairns, QL 4870 Australia",92,92,92,97
55410,55410-17377-01-RAI,Ramada by Wyndham Gumi,"C/O Dongbu AMC (Asset Management Co., Ltd) 322-3 Hwangsang-Dong Gumi, 39430 KOREA, REPUBLIC OF",213,210,213,210
55412,55412-17391-01-RAI,Ramada by Wyndham Bangkok Chaophya Park,"247 Ratchadapisek Road Bangkok, 10400 Thailand",402,402,402,125
55445,55445-18117-04-RAI,Ramada By Wyndham Bangkok Sukhumvit 87,"Sukhumvit 87 Bangkok, 10110 Thailand",200,147,147,147
55499,55499-17491-02-RAI,Ramada Plaza by Wyndham Bangkok Sukhumvit 48,"Sukhumvit 48 Bangkok, 10110 Thailand",200,48,105,48
56171,56171-12217-01-RAI,Ramada Encore by Wyndham Chinatown Kuala Lumpur,"No.1 and No. 3, Jalan Puda Lama, 50200, City Centre Kuala Lumpur, 50200 Malaysia",99,97,97,98
57199,57199-21625-01-RAI,Ramada by Wyndham Suanbo,"99, Jonsangongwon-gil, Suanbo-Myeon Chungju-Si, Ch 314924 KOREA, REPUBLIC OF",103,103,103,100
57484,57484-22235-01-RAI,Ramada by Wyndham Yogyakarta,"Jl. Yogyakarta - Magelang Km. 5 7 Sleman Yogyakarta, DI 55515 Indonesia",167,171,171,104
57560,57560-20680-01-RAI,Ramada Encore by Wyndham Amagasaki,"ARE Central Godo Kaisha 4-chome-30 Showa minami-dori Amagasaki, 660-0882 Japan",235,234,234,234
57794,57794-22942-01-RAI,Ramada Suites by Wyndham Seafront Coral Coast,"Lot 1 Sanasana, Korotogo Roundabout Sigatoka, Fiji",35,35,-,22
57920,57920-23307-01-RAI,Ramada by Wyndham Bangkok Sukhumvit 11,"155, 23-24 Soi Sukhumvit 11 Khwaeng Khlong Toei Nuea Bangkok, Ba 10110 Thailand",183,193,183,183
58017,58017-23525-02-RAI,Ramada by Wyndham Vientiane Central,"Nong Doung Village Chanthaburi County Vientiane, 01000 LAO PEOPLE'S DEMOCRATIC REPUBLIC",110,150,-,150
58102,58102-23679-01-RAI,Ramada by Wyndham Bangkok Ten Ekamai Residences,"33/39 Ekamai Soi 10, Sukhumvit 63, Road 33/55, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand Bangkok, 10110 Thailand",91,91,91,91
58911,58911-24967-01-RAI,Ramada by Wyndam Serpong,"Jl. Raya Serpong No. 89, Cilenggang, Tangerang Selatan Serpong, Ta 15310 Indonesia",96,97,93,97
59308,59308-25544-01-RAI,Ramada encore - labasa damodar city,"Wainikoro Dama road Labasa, Va Fiji",40,40,-,40
59917,59917-26413-01-RAI,Ramada by Wyndham Phnom Penh Central,"No, 69, Oknha Ket Street (St. 174), Phnom Penh, Cambodia Phnom Penh, Ph Cambodia",92,92,92,92
60459,60459-27087-01-RAI,Ramada by Wyndham Sihanoukville Xinhaohui Palace,"Village 3, Sangkat 3, Preah Sihanouk City Sihanoukville, Pr Cambodia",122,136,136,122
60939,60939-27737-01-RAI,Ramada Encore by Wyndham Palmerston North,"1 Fitzherbert Avenue Palmerston North, Au 5810 New Zealand",40,40,-,37
57500,57500-22291-01-SUP,Super 8 by Wyndham Solo Indonesia,"Jl. Dr. Rajiman No.179 Jayengan, Kec Serengan Surakarta (Solo), Ja 57152 Indonesia",50,50,-,50
50858,50858-09256-03-TFD,"Club Wyndham Ballarat, Trademark Collection by Wyndham","220 Grant Street Sebastopol, VI 3356 Australia",13,39,-,6
50859,50859-09256-03-TFD,"Club Wyndham Coffs Harbour, Trademark Collection by Wyndham","6 Resort Drive Pacific Bay Resort Precinct Coffs Harbour, NS 2450 Australia",25,25,-,16
50860,50860-09256-03-TFD,"Club Wyndham Flynns Beach, Trademark Collection by Wyndham","20 Flynn Street Port Macquarie, NS 2444 Australia",20,20,60,41
50861,50861-09256-03-TFD,Club Wyndham Sydney,"Corner of Wentworth Avenue and Goulburn Street Sydney, NS 2000 Australia",25,25,120,120
50862,50862-09256-03-TFD,"Club Wyndham Dunsborough, Trademark Collection by Wyndham","700 Caves Road Marybrook Dunsborough, WA 6005 Australia",35,35,84,33
50863,50863-09256-03-TFD,"Club Wyndham Perth, Trademark Collection by Wyndham","32 Outram Street West Perth, WA 6005 Australia",10,5,-,6
50864,50864-09256-03-TFD,"Club Wyndham Seven Mile Beach, Trademark Collection by Wyndham","78 Surf Road Seven Mile Beach Tasmania, TS 7170 Australia",15,61,-,2
50865,50865-09329-04-TFD,"Club Wyndham Wanaka, Trademark Collection by Wyndham","109 Mount Aspiring Road Wanaka, NS New Zealand",35,35,68,60
50886,50886-09256-03-TFD,"Club Wyndham Dinner Plain, Trademark Collection by Wyndham","12 Big Muster Drive Dinner Plain, VI 3898 Australia",39,45,-,3
52426,52426-20135-03-TFD,"Club Wyndham Denarau Island, Trademark Collection by Wyndham","Narewa Road Nadi, Denarau Island 00000 Fiji",8,155,-,202
54410,54410-09256-02-TFD,"Club Wyndham Kirra Beach, Trademark Collection by Wyndham","Corner Coyne and Winston Avenue Kirra Beach North, QLD 4225 Australia",3,3,-,4
54515,54515-14764-02-TFD,"Beverly Mountain Bay, Trademark Collection by Wyndham","SO15, Pratumnak Road Nongprue Banglamung Pattaya, 20150 Thailand",199,159,158,159
54898,54898-16079-02-TFD,"La Vie Dor Hotel and Resort, Trademark Collection by Wyndham","286 Sejaro Jeongnam Myeon Hwasung Guynggi Province Hwasung, 18516 KOREA, REPUBLIC OF",190,241,241,242
55269,55269-98877-01-TFD,Club Wyndham Airlie Beach,"Mount Whitsunday Drive Airlie Beach, QL 4802 Australia",41,35,-,32
55872,55872-80970-03-TFD,"Zenmaya Oceanfront Phuket, Trademark Collection by Wyndham","6/181 Moo. 6, T. Kamala A Kathu Phuket, 83150 Thailand",50,50,50,50
56349,56349-19529-01-TFD,The Proud Karon Beach Phuket Trademark Collection By Wyndham,"2 Patak Soi 24, Karon Subdistrict, Muang Phuket Phuket, 83100 Thailand",188,157,98,105
56996,56996-21028-01-TFD,"Hotel Soleil Ha Long, Trademark Collection by Wyndham","No. 82-84 Halong Street, Group 3, Area 2, Bai Chay Ward Quang Ninh Province, . Viet Nam",252,252,252,251
57785,57785-23117-02-TFD,"Shahzan Hotel Kuantan, Trademark Collection by Wyndham","Lot PT 240, Jalan Bukit Ubi, Jalan Masjid Kuantan, Ku 25000 Malaysia",152,152,152,152
57786,57786-23118-02-TFD,"Trinidad Suites Johor, Trademark Collection by Wyndham","Persiaran Puteri Selatan, Johor Bahru, Johor Bahru 79000 Malaysia",206,202,204,209
57788,57788-23120-02-TFD,"The Lisbon Melaka, Trademark Collection by Wyndham","20, Jalan D'Albuquerque, Perkampungan Portugis Melaka, Me 75050 Malaysia",72,72,72,72
57789,57789-23119-02-TFD,Trigo Kuala Lumpur,"ln Raja Laut, Chow Kit, Kuala Lumpur, Ku 50350 Malaysia",148,148,148,148
59340,59340-25441-01-TFD,"1001 Nights Hotel, Trademark Collection by Wyndham","Grand Ion Majestic, Jalan Grand Ion Majestic Genting Highlands, Pa 69000 Malaysia",700,1035,-,1035
59459,59459-25766-01-TFD,"Palma Resort Phu Quoc, Trademark Collection by Wyndham","107 Tran Hung Dao Phu Quoc, na 00000 Viet Nam",86,120,85,86
59889,59889-26348-01-TFD,"Poulo Wai Hotel, Trademark Collection by Wyndham","71-73 Oknha Ket Street (St. 174) Phnom Penh, Ph Cambodia",196,196,196,196
59891,59891-25766-01-TFD,"Haya Hotel Phu Quoc, Trademark Collection by Wyndham","82 Duong Tran Hung Dao, TT. Duong Dong Phu Quoc, Ki 00000 Viet Nam",82,85,85,85
60148,60148-07810-01-TFD,"Isola KLCC, Trademark Collection by Wyndham","23, Jalan Yap Kwan Seng, Kampung Baru Kuala Lumpur, Ku 50450 Malaysia",140,139,140,39
60469,60469-27100-01-TFD,"Hotel Traveltine Downtown Singapore, Trademark Collection by Wyndham","700 Beach Rd Singapore, Si 199598 Singapore",300,300,300,300
60289,60289-26909-02-VFD,Vienna House by Wyndham Charm Long Hai,"992 Vo Thi Sau Street, Hai Son Ward Ho Chi Minh city, 790000 Viet Nam",960,943,943,943
16284,16284-98877-04-WDF,Wyndham Resort Torquay,"100 THE ESPLANADE Darian Road & Surfcoast Hwy Torquay, VI 3228 Australia",77,69,-,69
45364,45364-98877-02-WDF,Wyndham Hotel Surfers Paradise,"Lot 53 3018 Surfers Paradise Blvd Surfers Paradise, QL 4217 Australia",58,192,-,51
47584,47584-98877-02-WDF,Wyndham Hotel Melbourne,"199 William Street Melbourne, VI 3000 Australia",34,531,-,35
49008,49008-05566-01-WDF,Wyndham Grand Yangon,"Mingalar Toung Nyuint Township-U Aung Myat Road & Kan Yeik That Road Yangon, Myanmar",291,291,291,291
49340,49340-18508-03-WDF,Wyndham Tamansari Jivva Resort Bali,"Lepang KlungKung Lepang, Bali Indonesia",222,222,222,222
49355,49355-80970-03-WDF,Wyndham Sea Pearl Resort Phuket,"12/1-9 Prabaramee Road Patong Beach Phuket, Thailand",242,201,204,258
49576,49576-82126-03-WDF,Wyndham Garden Guam,"240 Ypao Road Tamuning, 96913 Guam",144,144,144,3
49731,49731-06978-01-WDF,Wyndham Legend Halong Hotel,"Group 4, Zone 1 Ha Long Street Ha Long City, Qu 84 Viet Nam",417,450,217,217
50409,50409-08232-02-WDF,Wyndham Soleil Danang,"Intersection of Pham Van Dong Vo Nguyen Glap Streets Da Nang, 59000 Viet Nam",882,882,380,882
50471,50471-11856-02-WDF,Wyndham Garden Remarkables Park Queenstown,"32 Red Oaks Drive Remarkables Park Queenstown, 8033 New Zealand",130,75,75,75
50509,50509-80970-03-WDF,Wyndham Grand Phuket Kalim Bay,"6/114 Moo 6 Kamala Kathu, Phuket 83150 Thailand",194,194,194,214
50835,50835-18508-03-WDF,Wyndham Garden Kuta Beach Bali,"Jalan Pantai Kuta 99X Kuta Beach, Bali 80361 Indonesia",155,143,155,125
50888,50888-18508-03-WDF,Wyndham Surabaya City Centre,"Jl. Basuki Rahmat No. 6773 Surabaya, 60271 Indonesia",292,191,292,292
51282,51282-18508-03-WDF,Wyndham Opi Hotel Palembang,"Komp. OPI Business Centre Jakabaring Palembang, 30257 Indonesia",257,257,257,257
51377,51377-18508-03-WDF,Wyndham Dreamland Resort Bali,"Bali Pecatu Graha Dreamland Beach Bali, Indonesia",177,177,177,177
52111,52111-18508-03-WDF,Wyndham Casablanca Jakarta,"Jl. Casablanca Kavling 18 Menteng Dalam Jakarta, 12870 Indonesia",280,280,280,280
52612,52612-25441-02-WDF,Wyndham Ion Majestic,"Jalan Ion Delemen 1 Pahong Genting Highlands, 69000 Malaysia",850,850,850,850
54023,54023-19776-02-WDF,Wyndham Garden Christchurch Kilmore Street,"64 Kilmore Street Christchurch, 8013 New Zealand",126,100,96,100
54065,54065-13792-02-WDF,Wyndham Acmar Klang,"Persiaran Bukit Raja 2 Bandar Klang, 41150 Malaysia",232,196,488,232
54956,54956-16224-02-WDF,Wyndham Grand Busan Ijin,"Amnam-Dong Seo-Gu Busan Busan, Korea 123-15 KOREA, REPUBLIC OF",271,271,271,271
54964,54964-18602-03-WDF,Wyndham Sky Lake Resort and Villas,"Van Son Lake Area, Hoang Van Thu, Chuong My Ha Noi, Viet nam 100000 Viet Nam",212,212,212,120
54967,54967-16265-01-WDF,Wyndham La Vita Phuket,"83/87 M.2., Rawai, Muang Phuket, 83 Thailand",516,516,353,516
55282,55282-17061-01-WDF,Wyndham Garden Naithon Phuket,"28/40, Moo. 4 Naithon Beach Road, Sakhu Phuket, 83110 Thailand",225,121,121,122
